sample_name,description,category,violation_type,type,link
stemforkids_1.jpg,Gambar tersebut menampilkan karakter LEGO yang sedang mempromosikan perkemahan musim semi Code Ninjas. Gambar ini cerah dan menyenangkan serta tidak mengandung konten yang tidak pantas atau berbahaya bagi anak-anak.,safe,,image,https://www.instagram.com/p/DVq29PqEq2A/
stemforkids_100.jpg,Gambar tersebut menampilkan karakter LEGO yang sedang mempromosikan perkemahan musim semi Code Ninjas. Gambar ini cerah dan menyenangkan serta tidak mengandung konten yang tidak pantas atau berbahaya bagi anak-anak.,safe,,image,https://www.instagram.com/p/DVrZGGQCUns/
stemforkids_101.jpg,Gambar tersebut menampilkan ilustrasi bunga marigold dengan teks informatif tentang manfaatnya bagi kebun dan lebah. Kontennya bersifat edukatif dan positif tidak mengandung unsur negatif yang berbahaya bagi anak-anak. Gambar ini cocok untuk anak-anak karena mengajarkan tentang alam dan serangga dengan cara yang menyenangkan.,safe,,image,https://www.instagram.com/p/DVrZGGQCUns/
stemforkids_102.jpg,Gambar tersebut menampilkan ilustrasi lebah yang lucu dan bunga-bunga berwarna cerah dengan teks yang mendorong penanaman tanaman yang menarik serangga penyerbuk. Konten ini bersifat edukatif dan ramah anak serta tidak mengandung unsur negatif apapun yang dapat membahayakan anak-anak. Gambar ini cocok untuk anak-anak karena mempromosikan apresiasi terhadap alam dan lingkungan.,safe,,image,https://www.instagram.com/p/DVrZGGQCUns/
stemforkids_103.jpg,Gambar tersebut menampilkan ilustrasi semanggi dan teks informatif tentang semanggi dan madu semanggi. Kontennya bersifat edukatif dan positif serta tidak mengandung unsur-unsur yang berbahaya atau tidak pantas bagi anak-anak. Gambar ini aman untuk dikonsumsi anak-anak karena tidak melanggar pedoman konten yang telah ditetapkan.,safe,,image,https://www.instagram.com/p/DVrZGGQCUns/
stemforkids_104.jpg,Gambar tersebut menampilkan daftar bunga yang bisa ditanam dan ajakan untuk mengikuti akun media sosial bernama Bella. Konten ini bersifat positif dan edukatif bagi anak-anak karena memperkenalkan mereka pada dunia tanaman dan berkebun tanpa unsur negatif apapun. Gambar ini aman untuk dikonsumsi anak-anak.,safe,,image,https://www.instagram.com/p/DVrZGGQCUns/
stemforkids_105.jpg,Gambar tersebut menampilkan ilustrasi bunga matahari dan teks informatif tentang bunga matahari dan lebah. Kontennya bersifat edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi anak-anak. Gambar ini cocok untuk konsumsi anak-anak karena temanya positif dan informatif.,safe,,image,https://www.instagram.com/p/DVrZ8nDjaLo/
stemforkids_106.jpg,Gambar tersebut menampilkan diagram paru-paru manusia dan model paru-paru buatan. Konten ini bersifat edukatif dan tidak mengandung unsur-unsur yang berbahaya atau tidak pantas bagi anak-anak. Gambar ini cocok untuk pembelajaran sains atau biologi.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_107.jpg,Gambar tersebut menampilkan dua anak-anak yang sedang bermain dengan mainan dan berinteraksi dengan gembira. Tidak ada elemen dalam gambar yang bersifat seksual eksplisit kekerasan atau berbahaya bagi anak-anak sehingga gambar ini aman untuk dikonsumsi. Gambar ini mempromosikan kreativitas dan permainan imajinatif.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_108.jpg,Gambar tersebut menampilkan balok-balok warna-warni yang disusun menyerupai gitar dan teks yang mendorong anak untuk membangun dan bercerita tentang gitar tersebut. Konten ini bersifat edukatif dan kreatif serta tidak mengandung unsur negatif yang berbahaya bagi anak-anak. Gambar ini aman untuk dikonsumsi anak-anak karena mempromosikan pembelajaran dan imajinasi.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_109.jpg,Gambar tersebut menampilkan ilustrasi anak perempuan yang sedang membaca buku dan belajar bermain gitar. Kontennya bersifat edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi anak-anak. Gambar ini cocok untuk pembelajaran dan pengembangan minat anak-anak terhadap musik dan literasi.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_110.jpg,Gambar tersebut menampilkan seorang anak yang sedang belajar gitar dengan panduan visual tentang bagian-bagian gitar. Konten ini bersifat edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi anak-anak. Gambar ini mempromosikan pembelajaran musik dan interaksi positif antara anak dan lingkungan belajar.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_111.jpg,Gambar tersebut menampilkan karakter LEGO yang sedang mempromosikan perkemahan musim semi Code Ninjas. Gambar ini cerah dan menyenangkan serta tidak mengandung konten yang tidak pantas atau berbahaya bagi anak-anak.,safe,,image,https://www.instagram.com/p/DVraaJ5gZfp/
stemforkids_112.jpg,Gambar tersebut menampilkan ilustrasi alat musik gitar yang terbuat dari balok-balok bangunan dan not-not musik. Gambar ini aman karena tidak mengandung konten yang berbahaya atau tidak pantas bagi anak-anak dan mendorong kreativitas serta pembelajaran. Teks pada gambar juga bersifat edukatif dan mengajak siswa untuk berbagi ide.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_113.jpg,Gambar tersebut adalah materi promosi untuk program pendidikan STEM yang ditujukan untuk anak-anak. Gambar ini menampilkan pesan positif tentang membangun keterampilan dan rasa memiliki dalam bidang sains teknologi teknik dan matematika sehingga aman untuk anak-anak. Tidak ada elemen negatif atau konten yang tidak pantas dalam gambar ini.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_114.jpg,Gambar tersebut menampilkan bundel jurnal alam bertema teknik dan alam yang sedang dijual. Kontennya edukatif dan sesuai untuk anak-anak karena mempromosikan eksplorasi alam dan pemecahan masalah tanpa unsur negatif apapun. Gambar ini tidak mengandung konten yang berbahaya atau tidak pantas bagi anak-anak.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_115.jpg,Gambar tersebut menampilkan bundel materi pembelajaran bertema teknik dan sains untuk anak-anak. Kontennya bersifat edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi perkembangan anak-anak. Materi ini mempromosikan pembelajaran STEM dan tokoh-tokoh inspiratif di bidang sains dan teknik.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_116.jpg,Gambar tersebut menampilkan bundel produk pendidikan bertema sains dan teknik yang ditujukan untuk anak-anak. Kontennya bersifat informatif dan edukatif tidak mengandung unsur negatif atau berbahaya bagi anak-anak. Penawaran diskon dan harga juga tidak bermasalah.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_117.jpg,Gambar tersebut menampilkan bundel buku pemrograman untuk anak-anak dengan tema coding dan petualangan. Kontennya edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi anak-anak seperti kekerasan atau konten dewasa. Gambar ini aman untuk dikonsumsi anak-anak karena mempromosikan pembelajaran dan kreativitas.,safe,,image,https://www.instagram.com/p/DVraqLKD_ZI/
stemforkids_118.jpg,Gambar tersebut menampilkan bundel produk edukasi tentang teknologi seperti roket laptop dan komponen komputer. Konten ini bersifat informatif dan edukatif serta tidak mengandung unsur negatif yang berbahaya bagi anak-anak. Gambar ini mempromosikan pembelajaran dan eksplorasi sains serta teknologi.,safe,,image,https://www.instagram.com/p/DVratNTjdmn/
stemforkids_120.jpg,Gambar tersebut mempromosikan bundel pembelajaran coding untuk anak-anak dengan materi seperti buku kerja dan panduan memulai coding. Kontennya bersifat edukatif dan tidak mengandung unsur-unsur negatif yang berbahaya bagi anak-anak seperti kekerasan atau konten dewasa. Gambar ini aman untuk dikonsumsi anak-anak karena mendorong pembelajaran dan pengembangan keterampilan.,safe,,image,https://www.instagram.com/p/DVrauWqjVnh/
